SampleID,ComponentID,ComponentType,X,Y,Width,Height,Power
8,4,Capacitor,0,41,11,7,2.83
8,5,Diode,20,57,12,11,0.43
8,6,Inductor,16,16,10,6,0.34
8,7,IC,72,28,14,12,0.99
9,0,Capacitor,18,73,15,17,1.54
9,1,Capacitor,32,22,12,13,0.21
9,2,IC,67,66,9,13,0.49
9,3,Inductor,21,35,10,13,1.3
9,4,Diode,59,17,17,8,2.3
9,5,Capacitor,17,79,16,15,3.08
9,6,IC,9,69,5,10,2.13
9,7,Resistor,15,74,10,5,0.33
9,8,Diode,54,58,6,12,0.17
10,0,Diode,14,44,13,14,0.98
10,1,Inductor,41,20,20,17,0.84
10,2,Resistor,34,24,20,18,2.42
10,3,Inductor,84,9,16,18,4.41
10,4,Capacitor,77,45,14,10,1.76
10,5,Inductor,41,3,18,11,0.92
10,6,Capacitor,57,40,20,9,1.72
10,7,Capacitor,27,27,10,18,3.49
10,8,IC,24,0,7,5,2.03
10,9,Diode,26,79,20,13,3.9
10,10,Resistor,57,62,14,13,0.31
10,11,Capacitor,6,60,7,8,3.66
10,12,Inductor,3,7,20,7,3.48
10,13,Resistor,91,60,7,17,2.09
10,14,IC,61,69,12,17,0.37
11,0,Capacitor,24,15,5,13,0.13
11,1,IC,59,16,13,18,3.64
11,2,Inductor,49,43,17,20,4.54
11,3,Inductor,30,47,15,12,1.15
11,4,Capacitor,58,65,9,17,3.11
11,5,Inductor,70,29,13,19,1.96
11,6,Inductor,14,37,6,19,1.49
11,7,IC,83,8,10,17,3.16
11,8,Resistor,18,45,5,6,1.89
11,9,IC,66,64,7,20,2.43
11,10,Diode,50,38,7,17,1.64
12,0,Inductor,61,70,18,19,2.38
12,1,Inductor,59,44,16,8,3.74
12,2,Resistor,1,11,16,8,0.18
12,3,Resistor,76,78,17,16,1.61
12,4,Inductor,26,75,5,15,1.46
12,5,Diode,29,6,10,15,3.91
13,0,Capacitor,57,7,11,6,0.92
13,1,Inductor,47,80,15,7,1.59
13,2,Resistor,8,63,16,16,2.0
13,3,IC,82,42,16,6,1.49
13,4,Inductor,55,58,9,13,1.14
13,5,IC,54,61,19,9,2.37
13,6,IC,47,42,8,10,2.03
13,7,Capacitor,84,68,15,6,3.4
13,8,Inductor,24,16,18,9,3.1
13,9,Inductor,87,50,6,12,2.23
13,10,IC,77,73,12,19,0.56
13,11,Resistor,67,47,9,11,1.25
13,12,Diode,13,87,17,13,1.43
13,13,Diode,10,68,19,5,1.01
13,14,Diode,81,46,5,13,4.26
14,0,Diode,6,48,20,12,4.98
14,1,Capacitor,55,55,6,10,0.76
14,2,IC,57,81,6,6,0.33
14,3,Inductor,41,17,14,11,1.45
14,4,Resistor,73,47,15,13,1.71
14,5,Capacitor,54,12,19,14,3.89
14,6,Resistor,89,80,5,11,1.86
14,7,Inductor,10,13,15,17,0.51
14,8,IC,16,57,18,20,1.99
14,9,Inductor,54,79,12,10,2.56
14,10,Diode,47,6,20,18,0.41
14,11,IC,53,54,20,10,1.67
14,12,Diode,25,39,19,8,2.25
15,0,IC,17,48,11,18,4.75
15,1,Capacitor,84,78,6,12,2.15
15,2,Resistor,77,69,16,5,0.6
15,3,Resistor,40,3,14,11,0.62
15,4,Diode,63,0,19,7,2.29
15,5,Diode,2,62,15,19,3.94
15,6,IC,84,4,12,10,2.99
15,7,Capacitor,44,21,20,17,0.61
15,8,IC,58,62,10,18,4.47
15,9,IC,69,49,19,20,2.64
15,10,Resistor,52,24,10,8,0.7
15,11,Inductor,38,23,15,16,0.73
15,12,Inductor,6,40,12,8,4.49
16,0,Diode,66,40,18,20,4.72
16,1,Capacitor,7,16,12,15,2.77
16,2,Capacitor,74,26,12,14,3.17
16,3,Resistor,70,30,17,10,0.14
16,4,Capacitor,35,52,17,16,2.09
16,5,Inductor,85,41,11,6,2.8
16,6,IC,63,73,19,8,4.06
16,7,Inductor,46,52,10,19,1.69
16,8,Diode,11,21,10,8,4.65
16,9,Resistor,26,52,16,20,4.9
16,10,Capacitor,56,77,16,18,1.25
16,11,Resistor,35,41,9,20,4.23
17,0,IC,45,37,8,9,3.87
17,1,Inductor,59,77,18,19,1.97
17,2,Capacitor,15,85,18,7,1.22
17,3,Diode,47,26,16,15,1.5
17,4,Resistor,36,51,17,17,1.74
17,5,Capacitor,11,36,15,17,0.57
17,6,Diode,58,85,7,13,1.87
17,7,Capacitor,20,33,7,14,2.2
17,8,IC,1,64,10,18,2.2
17,9,IC,74,33,16,15,3.86
17,10,IC,86,28,12,15,2.77
17,11,Diode,53,41,17,13,1.64
18,0,Diode,68,52,17,5,2.32
18,1,Capacitor,86,15,14,5,3.71
18,2,Inductor,21,41,5,13,4.1
18,3,Capacitor,28,2,9,17,2.39
18,4,Capacitor,41,1,16,12,0.49
19,0,Resistor,12,50,13,6,4.02
19,1,IC,9,32,8,20,1.99
19,2,Resistor,68,33,18,9,1.95
19,3,Diode,9,23,19,16,1.58
19,4,Diode,0,4,18,13,0.9
19,5,Inductor,50,79,7,17,0.34
19,6,IC,77,82,8,17,2.1
19,7,Diode,2,46,19,14,3.98
20,0,Diode,47,13,14,13,0.11
20,1,Resistor,67,73,9,17,4.02
20,2,Capacitor,64,23,14,19,0.13
20,3,Diode,75,28,20,8,1.96
20,4,IC,92,70,8,7,0.77
20,5,Resistor,29,18,18,12,0.7
20,6,Resistor,43,34,9,20,1.07
20,7,Inductor,19,55,15,6,3.4
20,8,Diode,63,4,13,15,4.62
20,9,IC,9,41,12,20,2.49
20,10,Capacitor,40,95,20,5,3.01
20,11,Resistor,62,57,7,11,2.31
20,12,IC,79,18,9,17,4.48
20,13,Inductor,84,21,15,8,2.42
21,0,Inductor,1,73,7,20,4.34
21,1,Inductor,6,42,17,20,0.6
21,2,IC,32,47,17,20,2.07
21,3,Resistor,22,17,5,20,4.89
21,4,Inductor,25,36,15,20,0.27
21,5,Diode,10,78,10,11,2.73
21,6,Inductor,35,67,12,12,3.06
21,7,Inductor,43,74,15,14,2.62
22,0,Capacitor,27,64,14,7,3.43
22,1,IC,73,90,14,9,2.53
22,2,Diode,51,45,5,10,3.48
22,3,Capacitor,18,2,10,11,2.29
22,4,Resistor,49,86,13,13,4.35
23,0,IC,50,79,17,13,4.17
23,1,IC,33,17,10,17,4.91
23,2,IC,21,76,19,16,2.42
23,3,Diode,46,80,18,11,3.51
23,4,Inductor,37,28,7,9,2.25
23,5,IC,22,33,18,12,2.28
23,6,IC,6,44,7,9,4.39
23,7,Diode,8,26,11,12,4.62
23,8,Inductor,61,43,14,13,4.93
23,9,Capacitor,62,18,17,9,2.28
23,10,IC,52,83,6,5,2.13
23,11,Resistor,87,62,6,6,3.93
23,12,Resistor,33,12,11,20,3.52
23,13,IC,29,82,5,17,0.25
23,14,Resistor,28,76,10,11,4.55
24,0,Capacitor,15,34,5,17,1.61
24,1,IC,77,46,12,14,3.81
24,2,Diode,18,33,12,19,0.21
24,3,Resistor,36,68,8,7,0.1
24,4,Resistor,63,30,9,15,3.88
25,0,Inductor,7,13,20,18,4.23
25,1,Capacitor,24,4,8,17,0.11
25,2,Diode,47,60,11,18,3.87
25,3,Resistor,78,12,8,7,2.22
25,4,Diode,8,1,7,17,4.26
25,5,Capacitor,39,26,19,6,1.24
25,6,Inductor,44,7,20,12,3.29
25,7,Diode,70,80,14,17,4.93
25,8,Resistor,9,37,17,9,1.2
25,9,IC,20,45,18,9,4.06
25,10,Inductor,70,79,17,7,0.63
25,11,Diode,66,47,11,14,3.41
26,0,Capacitor,39,72,14,14,1.81
26,1,Capacitor,36,58,7,7,3.66
26,2,Inductor,80,13,10,17,4.84
26,3,Inductor,31,44,19,19,1.99
26,4,Resistor,77,38,6,15,4.14
26,5,Inductor,83,48,16,12,2.24
26,6,Diode,47,88,10,6,0.63
26,7,Capacitor,11,46,14,7,0.63
27,0,IC,7,78,6,20,0.6
27,1,IC,82,4,13,8,4.78
27,2,Capacitor,49,54,20,14,1.26
27,3,Diode,19,70,13,17,1.34
27,4,IC,63,44,9,9,1.67
27,5,Diode,58,15,18,17,2.74
27,6,IC,74,30,13,12,1.03
27,7,Diode,36,45,17,16,1.04
27,8,Resistor,38,14,11,8,3.38
27,9,Capacitor,44,79,15,5,3.21
27,10,Resistor,45,37,19,13,3.82
27,11,IC,82,58,5,19,4.53
28,0,Inductor,28,81,14,18,0.28
28,1,IC,68,30,11,18,3.3
28,2,Resistor,19,35,18,17,2.94
28,3,Resistor,34,74,20,19,3.71
28,4,Inductor,57,29,19,14,0.49
28,5,Diode,49,17,11,6,1.34
28,6,Resistor,28,49,13,14,2.2
28,7,Diode,42,85,19,12,1.17
28,8,IC,49,3,6,12,1.85
28,9,Resistor,45,60,7,16,3.38
28,10,IC,3,34,9,9,3.36
29,0,Resistor,75,2,16,17,1.28
29,1,Diode,13,45,16,9,2.31
29,2,Diode,45,27,17,8,4.67
29,3,Resistor,8,16,18,17,0.95
29,4,Capacitor,42,13,14,10,0.28
29,5,Inductor,2,4,16,10,2.52
29,6,Diode,5,50,20,8,4.57
29,7,Inductor,48,51,19,14,4.11
29,8,Diode,45,36,16,14,4.61
29,9,Diode,25,0,5,19,2.62
29,10,Inductor,91,75,9,6,1.81
29,11,Resistor,48,7,6,11,1.2
30,0,Capacitor,39,81,12,8,3.19
30,1,Diode,85,85,5,14,4.33
30,2,Inductor,73,56,14,9,4.0
30,3,IC,51,3,10,15,0.21
30,4,Resistor,21,26,7,10,2.32
30,5,Inductor,47,77,11,17,2.6
30,6,Resistor,94,32,6,11,0.27
30,7,Resistor,3,4,19,5,0.44
30,8,Inductor,35,17,15,9,3.92
30,9,IC,83,17,17,5,1.95
30,10,Diode,44,79,7,6,4.17
30,11,Resistor,39,60,16,18,1.49
31,0,Diode,8,65,18,9,1.11
31,1,Inductor,49,82,14,14,1.72
31,2,Resistor,5,19,14,8,4.72
31,3,IC,64,15,9,20,1.3
31,4,Inductor,9,17,15,10,1.44
31,5,Inductor,77,7,11,5,4.69
31,6,Resistor,14,13,11,11,3.92
32,0,Resistor,10,10,16,15,2.01
32,1,IC,9,59,9,12,2.69
32,2,IC,49,60,6,8,1.45
32,3,Capacitor,31,45,13,9,1.57
32,4,Inductor,35,61,7,12,0.9
32,5,Inductor,42,32,18,19,3.97
32,6,Capacitor,79,19,8,8,0.99
32,7,Inductor,22,32,19,20,0.86
32,8,Capacitor,68,8,17,17,3.79
32,9,Capacitor,57,91,7,8,3.39
32,10,Inductor,59,26,17,12,3.6
32,11,Capacitor,65,28,8,14,0.4
32,12,Diode,13,36,18,9,1.76
33,0,Capacitor,14,14,11,18,4.81
33,1,Inductor,75,74,16,13,0.3
33,2,Resistor,74,1,14,6,1.62
33,3,Resistor,29,49,11,13,4.7
33,4,Diode,52,6,15,11,2.4
33,5,Inductor,90,82,9,8,1.29
33,6,Inductor,43,74,12,12,0.5
33,7,IC,54,63,10,17,3.31
34,0,Resistor,54,3,13,9,3.83
34,1,Resistor,63,43,9,17,0.28
34,2,Capacitor,65,48,19,13,0.16
34,3,Diode,64,86,18,6,2.23
34,4,Inductor,49,13,16,14,1.75
34,5,IC,77,37,17,19,3.27
34,6,IC,55,14,17,19,2.99
34,7,Diode,48,37,13,6,0.49
34,8,Diode,58,63,5,9,3.47
34,9,Capacitor,27,50,20,19,0.84
34,10,Diode,37,8,18,5,2.75
34,11,IC,3,64,7,17,3.65
34,12,IC,39,27,9,18,0.11
34,13,Resistor,3,76,6,15,0.98
34,14,Resistor,25,82,12,15,1.65
35,0,IC,10,32,19,9,4.61
35,1,Diode,53,48,20,5,4.18
35,2,Inductor,46,30,5,20,1.62
35,3,Inductor,63,0,7,6,0.27
35,4,Resistor,40,89,8,7,4.0
35,5,Resistor,51,48,7,11,1.15
35,6,Diode,22,10,7,8,4.87
36,0,Capacitor,27,86,19,5,2.97
36,1,Diode,13,71,12,5,2.16
36,2,Inductor,22,47,7,20,1.79
36,3,IC,6,46,11,19,0.28
36,4,Diode,41,49,7,10,1.73
36,5,Inductor,60,22,17,20,3.7
36,6,Diode,51,77,5,20,4.79
36,7,Capacitor,53,70,20,6,1.51
36,8,Capacitor,64,75,7,20,2.53
36,9,Capacitor,71,30,11,17,4.57
37,0,Diode,67,14,10,6,2.26
37,1,IC,64,73,19,14,0.2
37,2,IC,4,38,15,13,0.38
37,3,Inductor,11,66,12,11,1.83
37,4,Capacitor,45,1,19,12,4.21
37,5,Resistor,68,40,13,6,2.33
37,6,Capacitor,64,81,17,11,4.29
37,7,Capacitor,74,75,9,11,2.67
37,8,Capacitor,69,29,17,9,0.4
37,9,Capacitor,56,15,6,7,2.44
37,10,IC,83,25,5,12,1.08
37,11,Resistor,13,70,17,14,4.46
37,12,IC,49,71,12,13,4.1
38,0,Capacitor,47,55,15,5,3.16
38,1,IC,8,22,15,20,4.56
38,2,IC,12,19,12,12,1.48
38,3,Capacitor,45,74,13,12,4.84
38,4,Capacitor,29,65,19,19,0.88
38,5,IC,42,6,18,17,4.2
38,6,Capacitor,58,63,6,14,1.56
38,7,IC,30,83,12,7,3.11
38,8,IC,39,11,8,9,2.99
38,9,Resistor,53,16,13,17,1.79
39,0,Resistor,27,37,19,17,1.0
39,1,Resistor,30,51,14,13,3.89
39,2,Inductor,35,72,7,13,3.62
39,3,IC,17,69,20,6,4.34
39,4,Diode,19,44,17,7,4.86
39,5,IC,61,32,7,13,1.69
39,6,Capacitor,14,77,11,16,1.33
39,7,Inductor,89,7,9,5,1.04
39,8,Capacitor,4,14,10,13,3.31
40,0,Capacitor,79,42,15,13,3.26
40,1,Resistor,64,9,18,13,1.26
40,2,IC,25,67,17,12,1.43
40,3,Capacitor,61,17,19,13,2.24
40,4,IC,4,21,14,8,2.61
40,5,Diode,79,47,12,15,4.26
40,6,Resistor,51,19,16,19,3.7
40,7,IC,67,85,10,14,4.5
41,0,Inductor,42,75,19,12,2.43
41,1,Resistor,17,54,20,18,1.05
41,2,Resistor,0,70,13,15,1.11
41,3,IC,22,21,17,18,2.9
41,4,Capacitor,76,76,20,17,4.18
41,5,IC,70,8,17,12,2.19
41,6,IC,58,69,6,6,2.5
41,7,Capacitor,83,38,5,12,1.34
41,8,Capacitor,36,41,16,8,2.75
42,0,Capacitor,21,64,18,16,0.92
42,1,Capacitor,7,80,14,9,2.49
42,2,Capacitor,15,6,19,18,3.19
42,3,Capacitor,56,84,8,12,0.42
42,4,Capacitor,28,15,11,13,0.72
42,5,IC,17,18,12,14,4.47
42,6,Inductor,77,5,8,16,3.31
42,7,Inductor,63,40,13,12,4.02
42,8,Diode,57,49,11,14,4.6
42,9,Capacitor,36,13,6,20,2.96
42,10,Capacitor,4,74,17,9,3.04
43,0,Resistor,8,20,8,8,0.31
43,1,Resistor,52,24,20,8,0.99
43,2,Capacitor,56,16,18,7,2.36
43,3,Diode,48,64,16,11,0.13
43,4,Resistor,40,53,7,8,0.59
43,5,Resistor,45,37,9,15,1.85
43,6,Inductor,42,18,5,10,3.19
43,7,IC,13,2,14,19,2.41
43,8,Capacitor,7,18,20,7,0.72
43,9,Inductor,40,86,20,10,3.94
43,10,Diode,66,73,13,12,3.74
43,11,Capacitor,61,63,8,14,3.28
43,12,Inductor,18,64,11,15,3.14
43,13,Inductor,39,7,6,10,4.54
43,14,Capacitor,49,46,14,15,0.62
44,0,Diode,0,0,17,6,0.52
44,1,IC,95,71,5,9,2.68
44,2,IC,18,45,13,16,1.82
44,3,Diode,80,32,12,7,0.34
44,4,IC,84,72,7,9,4.43
44,5,Diode,36,7,6,17,4.11
44,6,Inductor,27,53,17,6,4.09
44,7,Resistor,67,24,5,11,2.02
44,8,Capacitor,23,48,11,6,1.72
44,9,Inductor,7,36,20,15,4.02
44,10,IC,59,58,8,13,2.59
44,11,Inductor,58,60,10,14,1.63
44,12,IC,57,4,14,6,3.07
44,13,Diode,73,46,17,15,2.41
44,14,Resistor,6,69,18,17,0.29
45,0,IC,14,11,6,17,3.59
45,1,Inductor,19,67,18,11,2.2
45,2,Diode,51,18,16,13,4.23
45,3,Resistor,43,0,14,18,2.07
45,4,Inductor,80,11,18,20,4.1
45,5,Inductor,54,10,17,14,2.33
45,6,Capacitor,15,23,20,16,3.86
45,7,IC,47,4,7,13,4.02
46,0,Capacitor,5,21,20,18,1.79
46,1,IC,20,24,6,9,4.61
46,2,Capacitor,68,91,11,7,1.7
46,3,Inductor,45,16,16,5,0.91
46,4,Capacitor,29,39,5,10,4.94
46,5,Resistor,49,58,20,10,4.92
46,6,Diode,32,54,18,15,1.22
46,7,Resistor,36,27,11,14,1.95
46,8,Diode,10,6,16,14,2.92
46,9,Resistor,63,58,5,11,2.17
47,0,Capacitor,0,68,17,11,1.29
47,1,IC,16,2,14,15,3.06
47,2,Inductor,34,54,11,15,0.46
47,3,Diode,32,28,18,19,0.16
47,4,Diode,53,40,9,8,2.62
47,5,IC,34,12,17,6,3.13
47,6,IC,73,22,13,14,1.78
47,7,Diode,8,41,17,12,4.17
47,8,Diode,44,21,14,14,3.72
47,9,Diode,10,42,14,15,1.97
47,10,Capacitor,66,75,14,11,3.44
47,11,Inductor,10,35,12,14,3.12
47,12,Inductor,3,1,16,19,0.82
47,13,Diode,28,77,20,10,4.09
47,14,Resistor,41,34,7,16,1.58
48,0,IC,41,63,9,18,4.31
48,1,Diode,19,22,20,12,3.79
48,2,Capacitor,45,67,6,10,4.92
48,3,Inductor,61,9,16,8,3.81
48,4,Inductor,10,47,10,20,2.42
48,5,Resistor,80,0,5,12,4.98
48,6,Capacitor,64,44,8,5,0.35
48,7,Inductor,47,16,11,16,4.44
48,8,Inductor,57,75,11,18,0.37
48,9,Capacitor,76,13,14,12,4.52
48,10,Inductor,60,46,20,19,1.92
49,0,Inductor,47,43,10,16,4.0
49,1,Resistor,75,47,10,17,1.7
49,2,Inductor,35,56,18,9,0.16
49,3,Diode,4,71,12,13,2.14
49,4,Capacitor,7,38,17,11,0.93
49,5,Resistor,4,81,8,8,3.22
49,6,Diode,83,20,5,16,2.83
49,7,Inductor,59,29,12,15,2.5
49,8,Capacitor,26,25,17,13,4.25
50,0,IC,78,46,9,11,0.5
50,1,IC,60,67,11,5,4.95
50,2,IC,56,70,8,9,1.76
50,3,IC,65,81,9,9,3.91
50,4,Diode,58,42,20,10,4.48
50,5,Inductor,19,88,20,9,1.01
50,6,Diode,42,55,16,13,3.45
50,7,IC,82,43,5,5,0.45
50,8,Inductor,78,30,6,16,0.59
50,9,Capacitor,23,46,10,9,2.98
50,10,Diode,44,80,15,17,1.34
50,11,Inductor,18,6,18,7,4.77
50,12,Diode,65,70,13,14,3.35
50,13,Capacitor,17,79,18,5,0.22
51,0,Capacitor,14,81,7,11,1.55
51,1,Resistor,87,78,10,15,4.15
51,2,Resistor,45,35,8,13,3.34
51,3,Capacitor,10,32,11,10,4.05
51,4,Capacitor,9,48,10,20,1.12
51,5,IC,38,8,15,12,2.35
51,6,Resistor,24,78,19,15,1.18
51,7,IC,75,32,11,8,4.15
51,8,Diode,93,74,5,9,1.55
51,9,Inductor,37,77,7,7,3.58
51,10,Inductor,34,34,7,12,2.9
51,11,IC,9,40,11,19,0.54
51,12,IC,4,72,13,12,2.72
51,13,IC,81,27,6,16,2.77
51,14,Resistor,88,82,7,13,2.11
52,0,Resistor,43,65,12,10,0.95
52,1,Resistor,49,88,19,10,0.51
52,2,IC,44,50,11,12,2.58
52,3,Diode,75,18,10,9,0.62
52,4,Inductor,37,42,5,10,0.63
52,5,IC,37,12,15,10,1.14
52,6,Inductor,72,28,16,7,1.66
52,7,Resistor,61,33,18,11,4.03
52,8,Diode,29,25,7,16,1.01
53,0,IC,32,50,16,10,1.49
53,1,IC,26,9,12,17,0.64
53,2,IC,24,10,8,14,3.55
53,3,IC,31,34,12,9,1.46
53,4,Capacitor,22,83,10,5,2.77
53,5,Inductor,22,78,15,15,1.15
54,0,Resistor,77,82,6,14,2.48
54,1,Diode,60,45,6,6,0.63
54,2,IC,23,36,17,19,2.44
54,3,Inductor,34,13,13,19,4.06
54,4,Diode,25,79,18,8,4.34
54,5,Inductor,68,18,17,19,1.25
54,6,Resistor,6,9,8,15,2.41
54,7,Diode,21,9,10,16,0.53
54,8,Inductor,43,42,6,8,1.61
54,9,Capacitor,30,33,11,14,4.43
54,10,Inductor,43,66,11,11,3.04
54,11,Inductor,77,90,16,10,2.99
55,0,Inductor,81,88,15,6,1.29
55,1,Capacitor,75,30,14,15,3.07
55,2,Inductor,42,4,12,17,2.99
55,3,IC,69,1,9,9,3.74
55,4,Diode,61,30,10,8,0.45
55,5,Resistor,60,8,14,15,1.0
55,6,Resistor,28,47,12,6,2.93
55,7,IC,79,27,17,13,1.58
55,8,Capacitor,55,78,10,20,1.72
56,0,Resistor,33,1,11,18,4.16
56,1,Diode,74,7,12,11,4.2
56,2,Inductor,54,26,19,13,3.2
56,3,IC,36,13,10,13,4.08
56,4,Diode,12,42,15,15,4.99
56,5,Inductor,94,64,6,11,2.89
56,6,Resistor,40,41,11,11,3.52
56,7,Resistor,75,71,19,13,4.25
56,8,Resistor,60,58,17,19,4.3
56,9,Resistor,61,73,14,12,1.75
56,10,Capacitor,81,69,8,5,0.52
57,0,Inductor,9,88,14,6,2.73
57,1,Diode,3,93,6,5,3.21
57,2,Diode,14,33,18,14,0.86
57,3,Capacitor,14,89,19,9,3.33
57,4,Inductor,5,76,19,19,4.11
57,5,Inductor,74,87,14,9,1.59
57,6,Diode,8,65,11,15,1.31
57,7,IC,35,13,9,9,4.8
57,8,Diode,21,4,15,14,3.93
57,9,IC,40,75,6,18,1.48
57,10,Inductor,46,85,15,11,3.93
57,11,IC,16,24,12,10,3.03
57,12,Diode,73,30,19,20,1.99
58,0,Inductor,90,19,7,19,2.68
58,1,IC,16,87,12,10,2.46
58,2,Resistor,69,47,8,6,2.32
58,3,Inductor,9,65,13,20,4.37
58,4,Diode,10,57,8,18,4.81
58,5,Resistor,76,37,7,19,1.95
58,6,Capacitor,72,15,10,17,4.41
58,7,Inductor,36,30,11,15,4.76
58,8,Capacitor,80,21,7,6,1.67
59,0,Diode,95,35,5,10,2.88
59,1,Inductor,84,47,6,19,4.08
59,2,Inductor,64,16,11,15,3.53
59,3,Capacitor,61,31,12,7,4.91
59,4,Capacitor,94,80,6,16,1.74
59,5,Capacitor,1,60,18,8,0.35
59,6,Resistor,11,35,16,14,3.16
59,7,IC,25,74,7,14,2.28
59,8,Inductor,65,8,16,14,1.27
59,9,Capacitor,46,18,18,19,0.32
59,10,Capacitor,32,23,12,6,3.05
60,0,Resistor,11,62,18,14,2.85
60,1,Resistor,41,59,14,5,4.45
60,2,Capacitor,41,32,7,8,4.17
60,3,Resistor,87,5,8,6,1.9
60,4,Diode,75,42,13,19,3.92
60,5,Resistor,9,35,16,8,2.45
60,6,Resistor,62,81,8,11,1.91
60,7,IC,51,72,20,19,3.27
60,8,Capacitor,43,77,10,8,2.62
61,0,Inductor,29,66,11,19,2.92
61,1,Diode,81,52,11,10,3.66
61,2,Inductor,60,20,8,10,3.8
61,3,Resistor,0,42,12,19,0.34
61,4,Resistor,67,56,8,5,0.35
61,5,Diode,38,18,13,10,3.72
61,6,Inductor,76,30,18,14,0.73
61,7,Capacitor,11,23,14,13,0.91
61,8,Capacitor,48,15,17,16,2.65
61,9,IC,54,69,8,8,3.02
61,10,Capacitor,5,26,10,18,3.35
61,11,Capacitor,78,93,16,6,4.18
61,12,Capacitor,43,92,14,8,3.01
62,0,Resistor,91,45,6,13,2.48
62,1,Diode,10,73,9,16,2.82
62,2,IC,2,2,7,9,3.75
62,3,Diode,6,1,11,10,3.71
62,4,Resistor,32,56,15,5,1.93
62,5,Inductor,19,77,16,15,3.41
62,6,IC,90,17,9,5,4.22
62,7,IC,66,81,8,10,2.28
62,8,Capacitor,43,54,6,6,4.7
62,9,Inductor,26,25,10,13,2.76
62,10,Capacitor,11,17,13,10,2.06
62,11,Resistor,72,85,9,12,0.71
62,12,Inductor,30,74,13,14,0.89
62,13,Diode,21,53,8,18,2.95
62,14,Diode,29,76,14,10,4.27
